activity,case_id,lifecycle,resource,timestamp,case:Company,case:Document Type,case:GR-Based Inv. Verif.,case:Goods Receipt,case:Item,case:Item Category,case:Item Type,case:Name,case:Purch. Doc. Category name,case:Purchasing Document,case:Source,case:Spend area text,case:Spend classification text,case:Sub spend area text,case:Vendor,case:concept:name,event:Cumulative net worth (EUR),event:User
Record Goods Receipt,2000000016_00001,,user_000,2018-06-26T21:04:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,user_000
Record Service Entry Sheet,2000000016_00001,,NONE,2018-06-26T21:04:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,NONE
Record Goods Receipt,2000000016_00001,,user_000,2018-06-26T21:06:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,user_000
Record Service Entry Sheet,2000000016_00001,,NONE,2018-06-26T21:06:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,NONE
Record Goods Receipt,2000000016_00001,,user_000,2018-06-26T21:09:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,user_000
Record Service Entry Sheet,2000000016_00001,,NONE,2018-06-26T21:09:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,NONE
Record Invoice Receipt,2000000016_00001,,user_013,2018-06-27T15:15:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,user_013
Record Goods Receipt,2000000016_00001,,user_000,2018-06-28T11:21:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,user_000
Record Service Entry Sheet,2000000016_00001,,NONE,2018-06-28T11:21:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,NONE
Vendor creates invoice,2000000016_00001,,NONE,2018-07-01T21:59:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,NONE
Clear Invoice,2000000016_00001,,user_002,2018-07-05T12:12:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,user_002
Vendor creates invoice,2000000016_00001,,NONE,2018-07-08T21:59:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,NONE
Vendor creates invoice,2000000016_00001,,NONE,2018-07-15T21:59:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,NONE
Record Invoice Receipt,2000000016_00001,,user_001,2018-07-18T11:13:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,user_001
Record Invoice Receipt,2000000016_00001,,user_012,2018-07-18T14:24:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,user_012
Vendor creates invoice,2000000016_00001,,NONE,2018-07-22T21:59:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,NONE
Record Invoice Receipt,2000000016_00001,,user_012,2018-07-23T13:20:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,user_012
Record Invoice Receipt,2000000016_00001,,user_012,2018-07-23T14:02:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,user_012
SRM: Created,2000000016_00001,,user_016,2018-07-24T10:33:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,user_016
SRM: Complete,2000000016_00001,,user_016,2018-07-24T12:33:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,user_016
SRM: Awaiting Approval,2000000016_00001,,user_016,2018-07-24T12:33:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,user_016
SRM: Document Completed,2000000016_00001,,user_016,2018-07-24T12:33:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,user_016
SRM: Ordered,2000000016_00001,,batch_00,2018-07-24T13:38:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,batch_00
SRM: In Transfer to Execution Syst.,2000000016_00001,,batch_00,2018-07-24T13:38:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,batch_00
SRM: Deleted,2000000016_00001,,batch_00,2018-07-24T13:38:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,batch_00
Change Price,2000000016_00001,,user_000,2018-07-24T13:38:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,user_000
Record Goods Receipt,2000000016_00001,,user_000,2018-07-24T13:55:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,user_000
Record Service Entry Sheet,2000000016_00001,,NONE,2018-07-24T13:55:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,NONE
Record Goods Receipt,2000000016_00001,,user_000,2018-07-24T13:56:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,user_000
Record Service Entry Sheet,2000000016_00001,,NONE,2018-07-24T13:56:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,NONE
Record Goods Receipt,2000000016_00001,,user_000,2018-07-24T13:59:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,user_000
Record Service Entry Sheet,2000000016_00001,,NONE,2018-07-24T13:59:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,NONE
Record Goods Receipt,2000000016_00001,,user_000,2018-07-27T11:46:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,user_000
Record Service Entry Sheet,2000000016_00001,,NONE,2018-07-27T11:46:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,NONE
Vendor creates invoice,2000000016_00001,,NONE,2018-07-29T21:59:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,NONE
Vendor creates invoice,2000000016_00001,,NONE,2018-08-05T21:59:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,NONE
Clear Invoice,2000000016_00001,,user_002,2018-08-09T12:30:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,user_002
Vendor creates invoice,2000000016_00001,,NONE,2018-08-12T21:59:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,NONE
Record Invoice Receipt,2000000016_00001,,user_019,2018-08-14T14:20:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,user_019
Record Invoice Receipt,2000000016_00001,,user_012,2018-08-15T12:11:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,user_012
Record Invoice Receipt,2000000016_00001,,user_012,2018-08-15T12:33:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,user_012
Vendor creates invoice,2000000016_00001,,NONE,2018-08-19T21:59:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,NONE
Record Invoice Receipt,2000000016_00001,,user_019,2018-08-20T12:58:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,user_019
Vendor creates invoice,2000000016_00001,,NONE,2018-08-26T21:59:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,NONE
Record Goods Receipt,2000000016_00001,,user_000,2018-08-30T14:47:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,user_000
Record Service Entry Sheet,2000000016_00001,,NONE,2018-08-30T14:47:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,NONE
Record Goods Receipt,2000000016_00001,,user_000,2018-08-30T14:49:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,user_000
Record Service Entry Sheet,2000000016_00001,,NONE,2018-08-30T14:49:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,NONE
Record Goods Receipt,2000000016_00001,,user_000,2018-08-30T14:52:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,user_000
Record Service Entry Sheet,2000000016_00001,,NONE,2018-08-30T14:52:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,NONE
Record Goods Receipt,2000000016_00001,,user_000,2018-08-30T14:57:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,user_000
Record Service Entry Sheet,2000000016_00001,,NONE,2018-08-30T14:57:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,NONE
Record Goods Receipt,2000000016_00001,,user_000,2018-08-30T15:00:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,user_000
Record Service Entry Sheet,2000000016_00001,,NONE,2018-08-30T15:00:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,NONE
Record Invoice Receipt,2000000016_00001,,batch_00,2018-08-30T17:12:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,batch_00
Record Invoice Receipt,2000000016_00001,,user_019,2018-08-31T10:46:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,user_019
Vendor creates invoice,2000000016_00001,,NONE,2018-09-02T21:59:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,NONE
Clear Invoice,2000000016_00001,,user_002,2018-09-06T12:08:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,user_002
Record Invoice Receipt,2000000016_00001,,user_013,2018-09-07T06:00:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,user_013
Record Invoice Receipt,2000000016_00001,,user_012,2018-09-07T15:49:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,user_012
Vendor creates invoice,2000000016_00001,,NONE,2018-09-09T21:59:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,NONE
Record Invoice Receipt,2000000016_00001,,user_011,2018-09-10T10:15:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,user_011
Vendor creates invoice,2000000016_00001,,NONE,2018-09-16T21:59:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,NONE
Vendor creates invoice,2000000016_00001,,NONE,2018-09-23T21:59:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,NONE
Record Goods Receipt,2000000016_00001,,user_000,2018-09-28T05:57:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,user_000
Record Service Entry Sheet,2000000016_00001,,NONE,2018-09-28T05:57:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,NONE
Record Goods Receipt,2000000016_00001,,user_000,2018-09-28T06:00:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,user_000
Record Service Entry Sheet,2000000016_00001,,NONE,2018-09-28T06:00:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,NONE
Record Goods Receipt,2000000016_00001,,user_000,2018-09-28T06:03:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,user_000
Record Service Entry Sheet,2000000016_00001,,NONE,2018-09-28T06:03:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,NONE
Record Goods Receipt,2000000016_00001,,user_000,2018-09-28T06:07:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,user_000
Record Service Entry Sheet,2000000016_00001,,NONE,2018-09-28T06:07:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,NONE
Record Invoice Receipt,2000000016_00001,,batch_00,2018-09-28T11:06:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,batch_00
Record Invoice Receipt,2000000016_00001,,batch_00,2018-09-28T11:08:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,batch_00
Record Invoice Receipt,2000000016_00001,,batch_00,2018-09-28T11:13:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,batch_00
Vendor creates invoice,2000000016_00001,,NONE,2018-09-30T21:59:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,NONE
Record Invoice Receipt,2000000016_00001,,batch_00,2018-10-03T09:13:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,batch_00
Clear Invoice,2000000016_00001,,user_002,2018-10-04T14:50:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,user_002
Vendor creates invoice,2000000016_00001,,NONE,2018-10-07T21:59:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,NONE
Vendor creates invoice,2000000016_00001,,NONE,2018-10-14T21:59:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,NONE
Vendor creates invoice,2000000016_00001,,NONE,2018-10-21T21:59:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,NONE
Vendor creates invoice,2000000016_00001,,NONE,2018-10-28T22:59:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,NONE
Record Goods Receipt,2000000016_00001,,user_000,2018-10-30T15:31:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,user_000
Record Service Entry Sheet,2000000016_00001,,NONE,2018-10-30T15:31:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,NONE
Record Goods Receipt,2000000016_00001,,user_000,2018-10-30T15:35:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,user_000
Record Service Entry Sheet,2000000016_00001,,NONE,2018-10-30T15:35:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,NONE
Record Goods Receipt,2000000016_00001,,user_000,2018-10-30T15:39:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,user_000
Record Service Entry Sheet,2000000016_00001,,NONE,2018-10-30T15:39:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,NONE
Record Invoice Receipt,2000000016_00001,,user_012,2018-10-31T12:36:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,user_012
Record Invoice Receipt,2000000016_00001,,user_012,2018-10-31T16:25:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,user_012
Vendor creates invoice,2000000016_00001,,NONE,2018-11-04T22:59:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0015,Purchase order,2000000016,sourceSystemID_0000,Workforce Services,NPR,Third Party Labor,vendorID_0015,2000000016_00001,405009.0,NONE
