rank,case_count,variant_length,variant
2443,2,24,Create Purchase Order Item -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Goods Receipt -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Goods Receipt
2444,2,17,Create Purchase Order Item -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Goods Receipt -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Goods Receipt
2445,2,7,Create Purchase Requisition Item -> Create Purchase Order Item -> Change Quantity -> Record Goods Receipt -> Record Invoice Receipt -> Vendor creates invoice -> Clear Invoice
2446,2,11,Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Vendor creates invoice -> Change Quantity -> Change Delivery Indicator -> Change Quantity -> Record Goods Receipt -> Record Invoice Receipt -> Record Invoice Receipt -> Clear Invoice
2447,2,9,Create Purchase Order Item -> Vendor creates invoice -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice -> Record Invoice Receipt -> Remove Payment Block -> Clear Invoice
2448,2,17,Create Purchase Order Item -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Goods Receipt
2449,2,46,Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice
2450,2,44,Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice
2451,2,17,Create Purchase Order Item -> Change Quantity -> Change Quantity -> Change Quantity -> Change Quantity -> Vendor creates invoice -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice
2452,2,23,Create Purchase Order Item -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Goods Receipt -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Goods Receipt
2453,2,9,Create Purchase Requisition Item -> Create Purchase Order Item -> Change Quantity -> Record Goods Receipt -> Vendor creates invoice -> Vendor creates invoice -> Record Invoice Receipt -> Clear Invoice -> Clear Invoice
2454,2,8,Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Vendor creates debit memo -> Record Invoice Receipt -> Clear Invoice -> Cancel Invoice Receipt -> Clear Invoice
2455,2,10,Create Purchase Order Item -> Change Price -> Vendor creates invoice -> Record Goods Receipt -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Clear Invoice -> Record Invoice Receipt -> Clear Invoice
2456,2,13,Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Vendor creates invoice -> Vendor creates debit memo -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice -> Record Invoice Receipt -> Cancel Invoice Receipt -> Record Invoice Receipt -> Clear Invoice -> Clear Invoice
2457,2,17,Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Vendor creates invoice -> Vendor creates debit memo -> Record Goods Receipt -> Record Goods Receipt -> Vendor creates invoice -> Clear Invoice -> Record Invoice Receipt -> Record Invoice Receipt -> Clear Invoice -> Cancel Invoice Receipt -> Record Invoice Receipt -> Clear Invoice -> Clear Invoice
2458,2,7,Create Purchase Order Item -> Change Price -> Record Goods Receipt -> Vendor creates invoice -> Change Quantity -> Record Invoice Receipt -> Clear Invoice
2459,2,9,Create Purchase Order Item -> Vendor creates invoice -> Vendor creates invoice -> Record Invoice Receipt -> Record Invoice Receipt -> Record Goods Receipt -> Remove Payment Block -> Clear Invoice -> Clear Invoice
2460,2,6,Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice -> Cancel Goods Receipt
2461,2,15,Create Purchase Order Item -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Goods Receipt -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Goods Receipt
2462,2,6,Create Purchase Order Item -> Receive Order Confirmation -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Record Invoice Receipt
2463,2,8,Create Purchase Order Item -> Delete Purchase Order Item -> Reactivate Purchase Order Item -> Change Quantity -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice
2464,2,8,Create Purchase Order Item -> Change Quantity -> Change Approval for Purchase Order -> Vendor creates invoice -> Record Invoice Receipt -> Record Goods Receipt -> Remove Payment Block -> Clear Invoice
2465,2,9,Create Purchase Order Item -> Change Approval for Purchase Order -> Change Approval for Purchase Order -> Block Purchase Order Item -> Reactivate Purchase Order Item -> Vendor creates invoice -> Change Quantity -> Record Goods Receipt -> Record Invoice Receipt
2466,2,6,Vendor creates invoice -> Create Purchase Order Item -> Record Goods Receipt -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice
2467,2,10,Vendor creates invoice -> Create Purchase Order Item -> Record Goods Receipt -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Record Invoice Receipt -> Remove Payment Block -> Clear Invoice -> Clear Invoice
2468,2,13,Create Purchase Order Item -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Goods Receipt -> Record Service Entry Sheet -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Clear Invoice
2469,2,4,Create Purchase Order Item -> Change Delivery Indicator -> Delete Purchase Order Item -> Change Delivery Indicator
2470,2,10,Create Purchase Order Item -> Vendor creates invoice -> Change Quantity -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice
2471,2,9,Create Purchase Requisition Item -> Create Purchase Order Item -> Change Quantity -> Change Quantity -> Vendor creates invoice -> Record Invoice Receipt -> Record Goods Receipt -> Remove Payment Block -> Clear Invoice
2472,2,11,Create Purchase Order Item -> Receive Order Confirmation -> Change Price -> Vendor creates invoice -> Vendor creates debit memo -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice -> Cancel Invoice Receipt -> Record Invoice Receipt -> Clear Invoice
2473,2,8,Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Cancel Goods Receipt -> Change Quantity -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice
2474,2,7,Create Purchase Order Item -> Vendor creates invoice -> Record Invoice Receipt -> Change Delivery Indicator -> Record Goods Receipt -> Remove Payment Block -> Clear Invoice
2475,2,11,Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Invoice Receipt -> Remove Payment Block -> Clear Invoice
2476,2,10,Create Purchase Order Item -> Record Goods Receipt -> Vendor creates invoice -> Vendor creates debit memo -> Record Invoice Receipt -> Change Price -> Remove Payment Block -> Clear Invoice -> Cancel Invoice Receipt -> Clear Invoice
2477,2,10,Create Purchase Order Item -> Vendor creates invoice -> Vendor creates debit memo -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice -> Cancel Invoice Receipt -> Clear Invoice -> Record Invoice Receipt -> Clear Invoice
2478,2,7,Create Purchase Order Item -> Block Purchase Order Item -> Reactivate Purchase Order Item -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Clear Invoice
2479,2,8,Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Vendor creates debit memo -> Record Invoice Receipt -> Cancel Invoice Receipt -> Clear Invoice -> Clear Invoice
2480,2,7,Create Purchase Order Item -> Record Goods Receipt -> Vendor creates invoice -> Vendor creates debit memo -> Record Invoice Receipt -> Cancel Invoice Receipt -> Clear Invoice
2481,2,9,SRM: Created -> SRM: Complete -> SRM: Awaiting Approval -> SRM: Document Completed -> SRM: Ordered -> SRM: In Transfer to Execution Syst. -> Create Purchase Order Item -> SRM: Change was Transmitted -> Record Goods Receipt
2482,2,14,Vendor creates invoice -> SRM: Created -> SRM: Complete -> SRM: Awaiting Approval -> SRM: Document Completed -> SRM: In Transfer to Execution Syst. -> SRM: Ordered -> SRM: Change was Transmitted -> Create Purchase Order Item -> Record Goods Receipt -> Record Service Entry Sheet -> Record Invoice Receipt -> Remove Payment Block -> Clear Invoice
2483,2,13,SRM: Created -> SRM: Complete -> SRM: Awaiting Approval -> SRM: Document Completed -> SRM: Ordered -> SRM: In Transfer to Execution Syst. -> SRM: Change was Transmitted -> Create Purchase Order Item -> Record Goods Receipt -> Record Service Entry Sheet -> Vendor creates invoice -> Record Invoice Receipt -> Clear Invoice
2484,2,7,Create Purchase Order Item -> Receive Order Confirmation -> Vendor creates invoice -> Record Goods Receipt -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice
2485,2,10,Create Purchase Order Item -> Record Goods Receipt -> Record Service Entry Sheet -> Vendor creates invoice -> Vendor creates debit memo -> Record Invoice Receipt -> Cancel Invoice Receipt -> Clear Invoice -> Record Invoice Receipt -> Clear Invoice
2486,2,9,Create Purchase Order Item -> Record Goods Receipt -> Vendor creates invoice -> Vendor creates invoice -> Vendor creates debit memo -> Record Invoice Receipt -> Clear Invoice -> Clear Invoice -> Clear Invoice
2487,2,13,Create Purchase Order Item -> Vendor creates invoice -> Vendor creates debit memo -> Change Quantity -> Vendor creates invoice -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Remove Payment Block -> Clear Invoice -> Clear Invoice -> Clear Invoice -> Clear Invoice
2488,2,11,Create Purchase Order Item -> Vendor creates debit memo -> Vendor creates invoice -> Change Quantity -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Remove Payment Block -> Clear Invoice -> Clear Invoice -> Clear Invoice
2489,2,8,Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Vendor creates invoice -> Record Subsequent Invoice -> Remove Payment Block -> Clear Invoice
2490,2,12,Create Purchase Order Item -> Record Goods Receipt -> Vendor creates invoice -> Vendor creates debit memo -> Record Invoice Receipt -> Cancel Invoice Receipt -> Record Invoice Receipt -> Cancel Invoice Receipt -> Clear Invoice -> Record Invoice Receipt -> Clear Invoice -> Clear Invoice
2491,2,11,Create Purchase Order Item -> Vendor creates invoice -> Vendor creates invoice -> Record Goods Receipt -> Record Goods Receipt -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Record Invoice Receipt -> Record Invoice Receipt -> Clear Invoice
2492,2,7,Create Purchase Order Item -> Change Storage Location -> Change Quantity -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Clear Invoice
2493,2,6,Create Purchase Order Item -> Change Quantity -> Change Price -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt
2494,2,21,Create Purchase Order Item -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Vendor creates invoice -> Vendor creates debit memo -> Record Invoice Receipt -> Clear Invoice -> Cancel Invoice Receipt -> Record Invoice Receipt -> Clear Invoice -> Remove Payment Block
2495,2,13,Create Purchase Order Item -> Vendor creates debit memo -> Vendor creates invoice -> Record Invoice Receipt -> Record Goods Receipt -> Remove Payment Block -> Clear Invoice -> Cancel Invoice Receipt -> Record Invoice Receipt -> Clear Invoice -> Cancel Invoice Receipt -> Record Invoice Receipt -> Clear Invoice
2496,2,9,Vendor creates invoice -> Vendor creates debit memo -> Create Purchase Order Item -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice -> Change Quantity -> Cancel Subsequent Invoice -> Clear Invoice
2497,2,4,Create Purchase Order Item -> Receive Order Confirmation -> Change Price -> Delete Purchase Order Item
2498,2,7,Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Record Subsequent Invoice -> Clear Invoice
2499,2,18,Create Purchase Order Item -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Goods Receipt -> Record Goods Receipt
2500,2,11,Create Purchase Order Item -> Vendor creates invoice -> Record Invoice Receipt -> Record Goods Receipt -> Remove Payment Block -> Clear Invoice -> Vendor creates invoice -> Vendor creates debit memo -> Cancel Invoice Receipt -> Record Invoice Receipt -> Clear Invoice
2501,2,9,Create Purchase Order Item -> Change Quantity -> Record Goods Receipt -> Record Goods Receipt -> Vendor creates invoice -> Vendor creates invoice -> Record Invoice Receipt -> Record Invoice Receipt -> Clear Invoice
2502,2,10,Create Purchase Order Item -> Receive Order Confirmation -> Vendor creates invoice -> Vendor creates debit memo -> Record Invoice Receipt -> Record Goods Receipt -> Cancel Invoice Receipt -> Clear Invoice -> Record Invoice Receipt -> Clear Invoice
2503,2,9,Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice -> Vendor creates invoice -> Record Subsequent Invoice -> Remove Payment Block -> Clear Invoice
2504,2,9,Create Purchase Order Item -> Vendor creates invoice -> Change Quantity -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice
2505,2,11,Create Purchase Order Item -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Goods Receipt -> Record Service Entry Sheet
2506,2,6,Create Purchase Order Item -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Record Subsequent Invoice -> Clear Invoice
2507,2,22,Create Purchase Order Item -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Goods Receipt -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Goods Receipt
2508,2,11,Create Purchase Order Item -> Change Price -> Record Goods Receipt -> Vendor creates invoice -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Remove Payment Block -> Clear Invoice -> Record Invoice Receipt -> Clear Invoice
2509,2,14,Create Purchase Order Item -> Vendor creates invoice -> Receive Order Confirmation -> Vendor creates invoice -> Vendor creates debit memo -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice -> Record Invoice Receipt -> Cancel Invoice Receipt -> Remove Payment Block -> Cancel Invoice Receipt -> Clear Invoice -> Clear Invoice
2510,2,8,Create Purchase Order Item -> Vendor creates invoice -> Change Price -> Change Quantity -> Record Goods Receipt -> Record Invoice Receipt -> Remove Payment Block -> Clear Invoice
2511,2,9,Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice
2512,2,7,Create Purchase Order Item -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Vendor creates invoice -> Clear Invoice -> Record Invoice Receipt
2513,2,10,Create Purchase Order Item -> Vendor creates invoice -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Remove Payment Block -> Clear Invoice -> Record Subsequent Invoice -> Remove Payment Block -> Clear Invoice
2514,2,8,Create Purchase Order Item -> Release Purchase Order -> Change Approval for Purchase Order -> Vendor creates invoice -> Change Quantity -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice
2515,2,9,Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Vendor creates debit memo -> Record Invoice Receipt -> Remove Payment Block -> Cancel Invoice Receipt -> Clear Invoice -> Clear Invoice
2516,2,7,Create Purchase Order Item -> Vendor creates invoice -> Receive Order Confirmation -> Record Goods Receipt -> Record Invoice Receipt -> Record Invoice Receipt -> Clear Invoice
2517,2,9,Create Purchase Order Item -> Record Goods Receipt -> Vendor creates invoice -> Record Goods Receipt -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Record Invoice Receipt -> Clear Invoice
2518,2,13,Create Purchase Order Item -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Remove Payment Block -> Vendor creates invoice -> Vendor creates debit memo -> Cancel Invoice Receipt -> Clear Invoice -> Clear Invoice -> Record Invoice Receipt -> Remove Payment Block -> Clear Invoice
2519,2,8,Create Purchase Order Item -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Record Invoice Receipt -> Clear Invoice -> Remove Payment Block -> Clear Invoice
2520,2,12,Create Purchase Order Item -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Goods Receipt -> Record Service Entry Sheet -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Clear Invoice
2521,2,10,Create Purchase Order Item -> Vendor creates invoice -> Record Invoice Receipt -> Record Goods Receipt -> Change Price -> Remove Payment Block -> Vendor creates debit memo -> Clear Invoice -> Cancel Subsequent Invoice -> Clear Invoice
2522,2,9,Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Change Delivery Indicator -> Cancel Goods Receipt -> Record Goods Receipt -> Record Invoice Receipt -> Remove Payment Block -> Clear Invoice
2523,2,10,Create Purchase Order Item -> Change Quantity -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Cancel Invoice Receipt -> Remove Payment Block -> Vendor creates debit memo -> Clear Invoice -> Clear Invoice
2524,2,26,Create Purchase Order Item -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Goods Receipt -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Goods Receipt -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Goods Receipt
2525,2,13,Vendor creates invoice -> Create Purchase Order Item -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Goods Receipt -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice
2526,2,10,Create Purchase Order Item -> Change Quantity -> Vendor creates invoice -> Record Goods Receipt -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Record Invoice Receipt -> Remove Payment Block -> Clear Invoice
2527,2,8,Create Purchase Order Item -> Change Price -> Change Quantity -> Change Price -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Clear Invoice
2528,2,10,Create Purchase Order Item -> Receive Order Confirmation -> Record Goods Receipt -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Remove Payment Block -> Clear Invoice
2529,2,6,Create Purchase Order Item -> Vendor creates invoice -> Change Delivery Indicator -> Record Invoice Receipt -> Remove Payment Block -> Clear Invoice
2530,2,10,Create Purchase Order Item -> Vendor creates debit memo -> Vendor creates invoice -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Record Invoice Receipt -> Cancel Invoice Receipt -> Remove Payment Block -> Clear Invoice
2531,2,4,Create Purchase Order Item -> Change Price -> Change Storage Location -> Delete Purchase Order Item
2532,2,8,Create Purchase Order Item -> Receive Order Confirmation -> Record Goods Receipt -> Vendor creates invoice -> Change Delivery Indicator -> Change Delivery Indicator -> Record Invoice Receipt -> Clear Invoice
2533,2,9,Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Change Price -> Change Price -> Change Price -> Remove Payment Block -> Clear Invoice
2534,2,8,Create Purchase Order Item -> Change Price -> Change Price -> Receive Order Confirmation -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Clear Invoice
2535,2,11,Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Vendor creates invoice -> Vendor creates debit memo -> Record Subsequent Invoice -> Cancel Subsequent Invoice -> Remove Payment Block -> Clear Invoice -> Clear Invoice
2536,2,11,Create Purchase Order Item -> Change Quantity -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Remove Payment Block -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Remove Payment Block -> Clear Invoice
2537,2,5,Create Purchase Order Item -> Block Purchase Order Item -> Reactivate Purchase Order Item -> Change Quantity -> Record Goods Receipt
2538,2,7,Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Remove Payment Block -> Record Goods Receipt -> Clear Invoice
2539,2,7,Create Purchase Order Item -> Receive Order Confirmation -> Record Goods Receipt -> Vendor creates invoice -> Change Price -> Record Invoice Receipt -> Clear Invoice
2540,2,10,Create Purchase Order Item -> Vendor creates invoice -> Vendor creates debit memo -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Cancel Invoice Receipt -> Clear Invoice -> Record Invoice Receipt -> Clear Invoice
2541,2,16,Create Purchase Order Item -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Goods Receipt -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Goods Receipt
2542,2,10,Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Change Price -> Remove Payment Block -> Vendor creates debit memo -> Clear Invoice -> Cancel Subsequent Invoice -> Clear Invoice
2543,2,14,Create Purchase Order Item -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Goods Receipt -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Clear Invoice
2544,2,10,Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice -> Vendor creates invoice -> Vendor creates debit memo -> Cancel Invoice Receipt -> Record Invoice Receipt -> Clear Invoice
2545,2,4,Create Purchase Order Item -> Vendor creates invoice -> Record Invoice Receipt -> Change Delivery Indicator
2546,2,11,Create Purchase Order Item -> Change Quantity -> Vendor creates invoice -> Change Quantity -> Vendor creates debit memo -> Record Goods Receipt -> Record Invoice Receipt -> Record Invoice Receipt -> Cancel Invoice Receipt -> Remove Payment Block -> Clear Invoice
2547,2,10,Create Purchase Order Item -> Vendor creates invoice -> Vendor creates debit memo -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice -> Record Invoice Receipt -> Cancel Invoice Receipt -> Clear Invoice -> Remove Payment Block
2548,2,6,Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Record Goods Receipt -> Clear Invoice
2549,2,10,Create Purchase Order Item -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Goods Receipt -> Record Service Entry Sheet -> Record Goods Receipt
2550,2,9,Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Change Delivery Indicator -> Change Delivery Indicator -> Record Goods Receipt -> Remove Payment Block -> Clear Invoice
